"barcode","SampleType","RawCount","logCPM","CD8_Tscore","Tcell_score","Leukocyte_score"
"TCGA-IB-AAUV","Primary Tumor",5374,6.49065217061201,1331,1262.66666666667,6929
"TCGA-IB-AAUW","Primary Tumor",8824,7.1105039257926,834,551,4276
"TCGA-L1-A7W4","Primary Tumor",3334,5.98094795511862,83,59,798
"TCGA-LB-A7SX","Primary Tumor",7430,7.02599360570519,273,255,881
"TCGA-LB-A8F3","Primary Tumor",2855,6.14039930418969,45.5,75.3333333333333,245
"TCGA-LB-A9Q5","Primary Tumor",5994,7.89571756205388,145.5,152.333333333333,1513
"TCGA-M8-A5N4","Primary Tumor",5422,7.12636276096975,117,116.333333333333,1629
"TCGA-OE-A75W","Primary Tumor",3363,6.25134030625885,430,703.333333333333,502
"TCGA-PZ-A5RE","Primary Tumor",3289,6.03878712039775,112,320.333333333333,1991
"TCGA-Q3-A5QY","Primary Tumor",4629,6.60371193508911,1166.5,5492,18888
"TCGA-Q3-AA2A","Primary Tumor",2964,6.51359445886521,44,108.333333333333,457
"TCGA-RB-A7B8","Primary Tumor",4780,6.84207496826152,273,429.666666666667,1616
"TCGA-RB-AA9M","Primary Tumor",8110,7.19404740120798,280.5,336.666666666667,1093
"TCGA-RL-AAAS","Primary Tumor",4690,6.75192115122459,1096,1210.66666666667,3767
"TCGA-S4-A8RM","Primary Tumor",2323,5.32846550977839,482.5,494,2159
"TCGA-S4-A8RO","Primary Tumor",14875,8.41506742941747,124.5,129.333333333333,1214
"TCGA-S4-A8RP","Primary Tumor",5009,6.67402806225582,326.5,245,2027
"TCGA-US-A774","Primary Tumor",11276,7.71143312621934,442,445.666666666667,3313
"TCGA-US-A776","Primary Tumor",6189,6.99395362952924,46,61,155
"TCGA-US-A779","Primary Tumor",4978,6.80685647146142,48,76,165
"TCGA-US-A77E","Primary Tumor",4629,6.44440391878851,94,119.666666666667,766
"TCGA-US-A77G","Primary Tumor",6764,7.10223657641719,69.5,143.333333333333,487
"TCGA-US-A77J","Primary Tumor",3399,6.4024813591543,613.5,1838.66666666667,5955
"TCGA-XD-AAUG","Primary Tumor",2957,6.35729973543633,227,255.666666666667,1608
"TCGA-XD-AAUH","Primary Tumor",7750,7.32588957810704,744,1188,5990
"TCGA-XD-AAUI","Primary Tumor",11727,7.92039601401196,193.5,512.333333333333,2597
"TCGA-XD-AAUL","Primary Tumor",3817,6.18037317201889,119,705,1635
"TCGA-XN-A8T3","Primary Tumor",7345,7.27800015440707,494,352.333333333333,1560
"TCGA-XN-A8T5","Primary Tumor",8102,7.63859046187148,792.5,1197.33333333333,5832
"TCGA-YB-A89D","Solid Tissue Normal",11972,8.06554743606529,298,455,4149
"TCGA-YB-A89D","Solid Tissue Normal",11972,8.06554743606529,154,348,3022
"TCGA-YB-A89D","Primary Tumor",8088,7.53721645138838,298,455,4149
"TCGA-YB-A89D","Primary Tumor",8088,7.53721645138838,154,348,3022
"TCGA-YH-A8SY","Primary Tumor",5335,7.11370605387012,49,105.666666666667,516
"TCGA-YY-A8LH","Primary Tumor",3806,6.20085454414025,152.5,222,588
"TCGA-Z5-AAPL","Primary Tumor",2522,5.81391318088279,1712.5,4568.66666666667,29445
