"barcode","SampleType","RawCount","logCPM","CD8_Tscore","Tcell_score","Leukocyte_score"
"TCGA-AX-A05Z","Primary Tumor",5779,8.27566448672473,928,1322,455
"TCGA-AX-A060","Primary Tumor",4276,7.61754248414785,34,27.6666666666667,41
"TCGA-AX-A062","Primary Tumor",1897,7.26560021895624,25,17.3333333333333,37
"TCGA-AX-A063","Primary Tumor",649,5.98374121782536,269.5,340,536
"TCGA-AX-A064","Primary Tumor",1697,6.92922910898942,21.5,21.3333333333333,82
"TCGA-AX-A06B","Primary Tumor",9377,8.40074343886421,244.5,294,695
"TCGA-AX-A06D","Primary Tumor",2129,6.47507585788519,27.5,57,92
"TCGA-AX-A06F","Primary Tumor",366,4.70087734471062,158,200,468
"TCGA-AX-A06H","Primary Tumor",1845,6.64909477109572,598,1362,2482
"TCGA-AX-A06J","Primary Tumor",3028,7.4173948522312,131.5,164.333333333333,127
"TCGA-AX-A06L","Primary Tumor",1397,7.3767820718636,29,74.3333333333333,67
"TCGA-AX-A0IS","Primary Tumor",4905,7.79779750310236,159,72.6666666666667,180
"TCGA-AX-A0IU","Primary Tumor",2323,6.58858157161206,43,68,112
"TCGA-AX-A0IW","Primary Tumor",2594,6.83942127948951,31.5,63.6666666666667,71
"TCGA-AX-A0IZ","Primary Tumor",2644,6.84729436845363,609.5,703.666666666667,714
"TCGA-AX-A0IZ","Primary Tumor",2644,6.84729436845363,58.5,44.6666666666667,269
"TCGA-AX-A0IZ","Solid Tissue Normal",4483,7.90151295576041,609.5,703.666666666667,714
"TCGA-AX-A0IZ","Solid Tissue Normal",4483,7.90151295576041,58.5,44.6666666666667,269
"TCGA-AX-A0J0","Primary Tumor",4198,7.28983609796239,54.5,107,323
"TCGA-AX-A0J0","Primary Tumor",4198,7.28983609796239,353.5,353.333333333333,1225
"TCGA-AX-A0J0","Solid Tissue Normal",17808,8.72155312213274,54.5,107,323
"TCGA-AX-A0J0","Solid Tissue Normal",17808,8.72155312213274,353.5,353.333333333333,1225
"TCGA-AX-A0J1","Primary Tumor",2211,6.33766875697213,197,279.333333333333,490
"TCGA-AX-A1C4","Primary Tumor",1804,6.01339512498182,16,26,50
"TCGA-AX-A1C5","Primary Tumor",4447,7.58747864713575,355,44.6666666666667,56
"TCGA-AX-A1C7","Primary Tumor",2939,6.80114292203324,5.5,15.6666666666667,20
"TCGA-AX-A1C8","Primary Tumor",1821,6.19475941710142,23.5,117.666666666667,97
"TCGA-AX-A1C9","Primary Tumor",7231,8.05090611293702,162,253.666666666667,730
"TCGA-AX-A1CA","Primary Tumor",1778,6.23061423042971,127,190,87
"TCGA-AX-A1CC","Primary Tumor",8806,8.76147079540272,395.5,371.333333333333,1831
"TCGA-AX-A1CE","Primary Tumor",611,4.47792429693082,103,123,225
"TCGA-AX-A1CF","Primary Tumor",5504,7.67007027017162,68,87.6666666666667,155
"TCGA-AX-A1CF","Primary Tumor",5504,7.67007027017162,144,112.333333333333,360
"TCGA-AX-A1CF","Solid Tissue Normal",9878,8.5681593774663,68,87.6666666666667,155
"TCGA-AX-A1CF","Solid Tissue Normal",9878,8.5681593774663,144,112.333333333333,360
"TCGA-AX-A1CI","Primary Tumor",4220,7.74465996979964,63.5,58.6666666666667,68
"TCGA-AX-A1CI","Primary Tumor",4220,7.74465996979964,280.5,179,403
"TCGA-AX-A1CI","Solid Tissue Normal",11522,8.5536020096464,63.5,58.6666666666667,68
"TCGA-AX-A1CI","Solid Tissue Normal",11522,8.5536020096464,280.5,179,403
"TCGA-AX-A1CJ","Primary Tumor",12888,9.30934737183867,101.5,278.666666666667,223
"TCGA-AX-A1CK","Solid Tissue Normal",16705,9.11226663459288,641,580.333333333333,1006
"TCGA-AX-A1CK","Solid Tissue Normal",16705,9.11226663459288,134.5,62.3333333333333,42
"TCGA-AX-A1CK","Primary Tumor",1813,6.25602010212183,641,580.333333333333,1006
"TCGA-AX-A1CK","Primary Tumor",1813,6.25602010212183,134.5,62.3333333333333,42
"TCGA-AX-A1CN","Primary Tumor",1340,5.65484213365309,264.5,50.3333333333333,135
"TCGA-AX-A1CP","Primary Tumor",2450,6.51287245177885,73,49.6666666666667,374
"TCGA-AX-A1CR","Primary Tumor",1572,6.43269908925365,56.5,62.6666666666667,155
"TCGA-AX-A2H2","Primary Tumor",953,5.1315640958173,177.5,324.333333333333,339
"TCGA-AX-A2H4","Primary Tumor",3620,6.90074739518786,1214,856,3080
"TCGA-AX-A2H5","Primary Tumor",2274,6.23402265662819,102,137.666666666667,232
"TCGA-AX-A2H7","Primary Tumor",3448,7.0399870692579,36.5,88,136
"TCGA-AX-A2H8","Primary Tumor",7278,8.10823087484681,43.5,75.6666666666667,342
"TCGA-AX-A2H8","Primary Tumor",7278,8.10823087484681,106.5,91.6666666666667,319
"TCGA-AX-A2H8","Solid Tissue Normal",6471,8.06343551084531,43.5,75.6666666666667,342
"TCGA-AX-A2H8","Solid Tissue Normal",6471,8.06343551084531,106.5,91.6666666666667,319
"TCGA-AX-A2HA","Solid Tissue Normal",5420,8.37925566765978,401,281,595
"TCGA-AX-A2HA","Solid Tissue Normal",5420,8.37925566765978,146,124.333333333333,272
